t_s,light_adc,acc_x_adc,acc_y_adc,temp_c,switch_a,switch_b,situation
0.0,95,129,128,21.97,0,0,indoors-office-desk
0.0036363636363636364,102,127,129,22.02,0,0,indoors-office-desk
0.007272727272727273,101,129,128,22.11,0,0,indoors-office-desk
0.01090909090909091,97,128,127,21.97,0,0,indoors-office-desk
0.014545454545454545,103,127,127,21.97,0,0,indoors-office-desk
0.01818181818181818,99,128,130,21.94,0,0,indoors-office-desk
0.02181818181818182,100,130,128,21.94,0,0,indoors-office-desk
0.025454545454545455,103,129,128,22.02,0,0,indoors-office-desk
0.02909090909090909,97,128,127,22.0,0,0,indoors-office-desk
0.03272727272727273,101,127,128,22.08,0,0,indoors-office-desk
0.03636363636363636,102,128,129,22.09,0,0,indoors-office-desk
0.04,95,128,127,22.1,0,0,indoors-office-desk
